date,Age of Wonders 4,isPartial

2019-05-12,0,False

2019-05-19,0,False

2019-05-26,0,False

2019-06-02,0,False

2019-06-09,0,False

2019-06-16,0,False

2019-06-23,0,False

2019-06-30,0,False

2019-07-07,0,False

2019-07-14,0,False

2019-07-21,0,False

2019-07-28,0,False

2019-08-04,0,False

2019-08-11,0,False

2019-08-18,0,False

2019-08-25,0,False

2019-09-01,0,False

2019-09-08,0,False

2019-09-15,0,False

2019-09-22,0,False

2019-09-29,0,False

2019-10-06,0,False

2019-10-13,0,False

2019-10-20,0,False

2019-10-27,0,False

2019-11-03,0,False

2019-11-10,0,False

2019-11-17,0,False

2019-11-24,0,False

2019-12-01,0,False

2019-12-08,0,False

2019-12-15,0,False

2019-12-22,0,False

2019-12-29,0,False

2020-01-05,0,False

2020-01-12,0,False

2020-01-19,0,False

2020-01-26,0,False

2020-02-02,0,False

2020-02-09,0,False

2020-02-16,0,False

2020-02-23,0,False

2020-03-01,0,False

2020-03-08,0,False

2020-03-15,0,False

2020-03-22,0,False

2020-03-29,0,False

2020-04-05,0,False

2020-04-12,0,False

2020-04-19,0,False

2020-04-26,0,False

2020-05-03,0,False

2020-05-10,0,False

2020-05-17,0,False

2020-05-24,0,False

2020-05-31,0,False

2020-06-07,0,False

2020-06-14,0,False

2020-06-21,0,False

2020-06-28,0,False

2020-07-05,0,False

2020-07-12,0,False

2020-07-19,0,False

2020-07-26,0,False

2020-08-02,0,False

2020-08-09,0,False

2020-08-16,0,False

2020-08-23,0,False

2020-08-30,0,False

2020-09-06,0,False

2020-09-13,0,False

2020-09-20,0,False

2020-09-27,0,False

2020-10-04,0,False

2020-10-11,0,False

2020-10-18,0,False

2020-10-25,0,False

2020-11-01,0,False

2020-11-08,0,False

2020-11-15,0,False

2020-11-22,0,False

2020-11-29,0,False

2020-12-06,0,False

2020-12-13,0,False

2020-12-20,0,False

2020-12-27,0,False

2021-01-03,0,False

2021-01-10,0,False

2021-01-17,0,False

2021-01-24,0,False

2021-01-31,0,False

2021-02-07,0,False

2021-02-14,0,False

2021-02-21,0,False

2021-02-28,0,False

2021-03-07,0,False

2021-03-14,0,False

2021-03-21,0,False

2021-03-28,0,False

2021-04-04,0,False

2021-04-11,0,False

2021-04-18,0,False

2021-04-25,0,False

2021-05-02,0,False

2021-05-09,0,False

2021-05-16,0,False

2021-05-23,0,False

2021-05-30,0,False

2021-06-06,0,False

2021-06-13,0,False

2021-06-20,0,False

2021-06-27,0,False

2021-07-04,0,False

2021-07-11,0,False

2021-07-18,0,False

2021-07-25,0,False

2021-08-01,0,False

2021-08-08,0,False

2021-08-15,0,False

2021-08-22,0,False

2021-08-29,0,False

2021-09-05,0,False

2021-09-12,0,False

2021-09-19,0,False

2021-09-26,0,False

2021-10-03,0,False

2021-10-10,0,False

2021-10-17,0,False

2021-10-24,0,False

2021-10-31,0,False

2021-11-07,0,False

2021-11-14,0,False

2021-11-21,0,False

2021-11-28,0,False

2021-12-05,0,False

2021-12-12,0,False

2021-12-19,0,False

2021-12-26,0,False

2022-01-02,0,False

2022-01-09,0,False

2022-01-16,0,False

2022-01-23,0,False

2022-01-30,0,False

2022-02-06,0,False

2022-02-13,0,False

2022-02-20,2,False

2022-02-27,0,False

2022-03-06,0,False

2022-03-13,0,False

2022-03-20,0,False

2022-03-27,0,False

2022-04-03,0,False

2022-04-10,0,False

2022-04-17,0,False

2022-04-24,0,False

2022-05-01,0,False

2022-05-08,3,False

2022-05-15,0,False

2022-05-22,0,False

2022-05-29,0,False

2022-06-05,0,False

2022-06-12,0,False

2022-06-19,0,False

2022-06-26,0,False

2022-07-03,0,False

2022-07-10,0,False

2022-07-17,0,False

2022-07-24,0,False

2022-07-31,0,False

2022-08-07,0,False

2022-08-14,0,False

2022-08-21,0,False

2022-08-28,0,False

2022-09-04,0,False

2022-09-11,0,False

2022-09-18,0,False

2022-09-25,0,False

2022-10-02,0,False

2022-10-09,0,False

2022-10-16,0,False

2022-10-23,0,False

2022-10-30,0,False

2022-11-06,0,False

2022-11-13,0,False

2022-11-20,0,False

2022-11-27,0,False

2022-12-04,0,False

2022-12-11,0,False

2022-12-18,0,False

2022-12-25,0,False

2023-01-01,0,False

2023-01-08,0,False

2023-01-15,0,False

2023-01-22,0,False

2023-01-29,3,False

2023-02-05,0,False

2023-02-12,0,False

2023-02-19,0,False

2023-02-26,5,False

2023-03-05,0,False

2023-03-12,0,False

2023-03-19,3,False

2023-03-26,3,False

2023-04-02,4,False

2023-04-09,0,False

2023-04-16,3,False

2023-04-23,17,False

2023-04-30,100,False

2023-05-07,74,False

2023-05-14,45,False

2023-05-21,23,False

2023-05-28,16,False

2023-06-04,12,False

2023-06-11,13,False

2023-06-18,19,False

2023-06-25,15,False

2023-07-02,10,False

2023-07-09,8,False

2023-07-16,9,False

2023-07-23,9,False

2023-07-30,8,False

2023-08-06,5,False

2023-08-13,3,False

2023-08-20,6,False

2023-08-27,5,False

2023-09-03,4,False

2023-09-10,4,False

2023-09-17,5,False

2023-09-24,4,False

2023-10-01,3,False

2023-10-08,7,False

2023-10-15,6,False

2023-10-22,6,False

2023-10-29,6,False

2023-11-05,18,False

2023-11-12,9,False

2023-11-19,10,False

2023-11-26,9,False

2023-12-03,7,False

2023-12-10,6,False

2023-12-17,8,False

2023-12-24,12,False

2023-12-31,12,False

2024-01-07,7,False

2024-01-14,8,False

2024-01-21,5,False

2024-01-28,5,False

2024-02-04,5,False

2024-02-11,6,False

2024-02-18,6,False

2024-02-25,12,False

2024-03-03,11,False

2024-03-10,10,False

2024-03-17,9,False

2024-03-24,6,False

2024-03-31,6,False

2024-04-07,5,False

2024-04-14,6,False

2024-04-21,5,False

2024-04-28,6,False

2024-05-05,6,False

2024-05-12,6,True

date,Hatred,isPartial

2019-05-12,22,False

2019-05-19,30,False

2019-05-26,31,False

2019-06-02,30,False

2019-06-09,25,False

2019-06-16,21,False

2019-06-23,20,False

2019-06-30,29,False

2019-07-07,0,False

2019-07-14,20,False

2019-07-21,20,False

2019-07-28,25,False

2019-08-04,29,False

2019-08-11,24,False

2019-08-18,28,False

2019-08-25,24,False

2019-09-01,15,False

2019-09-08,19,False

2019-09-15,0,False

2019-09-22,25,False

2019-09-29,18,False

2019-10-06,16,False

2019-10-13,22,False

2019-10-20,27,False

2019-10-27,19,False

2019-11-03,32,False

2019-11-10,25,False

2019-11-17,25,False

2019-11-24,17,False

2019-12-01,18,False

2019-12-08,24,False

2019-12-15,31,False

2019-12-22,38,False

2019-12-29,26,False

2020-01-05,27,False

2020-01-12,23,False

2020-01-19,25,False

2020-01-26,22,False

2020-02-02,16,False

2020-02-09,0,False

2020-02-16,26,False

2020-02-23,19,False

2020-03-01,30,False

2020-03-08,18,False

2020-03-15,25,False

2020-03-22,35,False

2020-03-29,28,False

2020-04-05,41,False

2020-04-12,73,False

2020-04-19,35,False

2020-04-26,25,False

2020-05-03,29,False

2020-05-10,26,False

2020-05-17,16,False

2020-05-24,35,False

2020-05-31,27,False

2020-06-07,26,False

2020-06-14,29,False

2020-06-21,23,False

2020-06-28,15,False

2020-07-05,25,False

2020-07-12,26,False

2020-07-19,26,False

2020-07-26,34,False

2020-08-02,17,False

2020-08-09,30,False

2020-08-16,18,False

2020-08-23,24,False

2020-08-30,18,False

2020-09-06,17,False

